Opcode	Instruction	64-bit Mode	Compat/32-bit-Legacy Mode	Description
VEX.128.66.0F.WIG F7 /r	VMASKMOVDQU xmm1, xmm2	V	V	Selectively write bytes from xmm1 to memory location using the byte mask in xmm2. The default memory location is specified by DS:DI/EDI/RDI.
				
0F F7 /r 	MASKMOVQ mm1, mm2	V	V	Selectively write bytes from mm1 to memory location using the byte mask in mm2. The default memory location is specified by DS:DI/EDI/RDI.
				
66 0F 5F /r 	MAXPD xmm1, xmm2/m128	V	V	Return the maximum double-precision floating-point values between xmm2/m128 and xmm1.
VEX.NDS.128.66.0F.WIG 5F /r	VMAXPD xmm1, xmm2, xmm3/m128	V	V	Return the maximum double-precision floating-point values between xmm2 and xmm3/mem.
VEX.NDS.256.66.0F.WIG 5F /r	VMAXPD ymm1, ymm2, ymm3/m256	V	V	Return the maximum packed double-precision floating-point values between ymm2 and ymm3/mem.
				
0F 5F /r 	MAXPS xmm1, xmm2/m128	V	V	Return the maximum single-precision floating-point values between xmm2/m128 and xmm1.
VEX.NDS.128.0F.WIG 5F /r	VMAXPS xmm1, xmm2, xmm3/m128	V	V	Return the maximum single-precision floating-point values between xmm2 and xmm3/mem.
VEX.NDS.256.0F.WIG 5F /r	VMAXPS ymm1, ymm2, ymm3/m256	V	V	Return the maximum single double-precision floating-point values between ymm2 and ymm3/mem.
				
F2 0F 5F /r 	MAXSD xmm1, xmm2/m64	V	V	Return the maximum scalar double-precision floating-point value between xmm2/mem64 and xmm1.
VEX.NDS.LIG.F2.0F.WIG 5F /r	VMAXSD xmm1, xmm2, xmm3/m64	V	V	Return the maximum scalar double-precision floating-point value between xmm3/mem64 and xmm2.
				
F3 0F 5F /r 	MAXSS xmm1, xmm2/m32	V	V	Return the maximum scalar single-precision floating-point value between xmm2/mem32 and xmm1.
VEX.NDS.LIG.F3.0F.WIG 5F /r	VMAXSS xmm1, xmm2, xmm3/m32	V	V	Return the maximum scalar single-precision floating-point value between xmm3/mem32 and xmm2.
				
0F AE /6 	MFENCE 	V	V	Serializes load and store operations.
				
66 0F 5D /r 	MINPD xmm1, xmm2/m128	V	V	Return the minimum double-precision floating-point values between xmm2/m128 and xmm1.
VEX.NDS.128.66.0F.WIG 5D /r	VMINPD xmm1, xmm2, xmm3/m128	V	V	Return the minimum double-precision floating-point values between xmm2 and xmm3/mem.
VEX.NDS.256.66.0F.WIG 5D /r	VMINPD ymm1, ymm2, ymm3/m256	V	V	Return the minimum packed double-precision floating-point values between ymm2 and ymm3/mem.
				
0F 5D /r 	MINPS xmm1, xmm2/m128	V	V	Return the minimum single-precision floating-point values between xmm2/m128 and xmm1.
VEX.NDS.128.0F.WIG 5D /r	VMINPS xmm1, xmm2, xmm3/m128	V	V	Return the minimum single-precision floating-point values between xmm2 and xmm3/mem.
VEX.NDS.256.0F.WIG 5D /r	VMINPS ymm1, ymm2, ymm3/m256	V	V	Return the minimum single double-precision floating-point values between ymm2 and ymm3/mem.
				
F2 0F 5D /r 	MINSD xmm1, xmm2/m64	V	V	Return the minimum scalar double-precision floating-point value between xmm2/mem64 and xmm1.
VEX.NDS.LIG.F2.0F.WIG 5D /r	VMINSD xmm1, xmm2, xmm3/m64	V	V	Return the minimum scalar double precision floating-point value between xmm3/mem64 and xmm2.
				
F3 0F 5D /r 	MINSS xmm1, xmm2/m32	V	V	Return the minimum scalar single-precision floating-point value between xmm2/mem32 and xmm1.
VEX.NDS.LIG.F3.0F.WIG 5D /r	VMINSS xmm1,xmm2, xmm3/m32	V	V	Return the minimum scalar single precision floating-point value between xmm3/mem32 and xmm2.
				
0F 01 C8 	MONITOR 	V	V	Sets up a linear address range to be monitored by hardware and activates the monitor. The address range should be a write-back memory caching type. The address is DS:EAX (DS:RAX in 64-bit mode).
				
88 /r 	MOV r/m8, r8 	V	V	Move r8 to r/m8.
REX+ 88 /r 	MOV r/m8, r8	V	NE	Move r8 to r/m8.
89 /r 	MOV r/m16, r16 	V	V	Move r16 to r/m16.
89 /r 	MOV r/m32, r32 	V	V	Move r32 to r/m32.
REX.W+ 89 /r 	MOV r/m64, r64 	V	NE	Move r64 to r/m64.
8A /r 	MOV r8, r/m8 	V	V	Move r/m8 to r8.
REX+ 8A /r 	MOV r8, r/m8	V	NE	Move r/m8 to r8.
8B /r 	MOV r16, r/m16 	V	V	Move r/m16 to r16.
8B /r 	MOV r32, r/m32 	V	V	Move r/m32 to r32.
REX.W+ 8B /r 	MOV r64, r/m64 	V	NE	Move r/m64 to r64.
8C /r 	MOV r/m16, Sreg	V	V	Move segment register to r/m16.
REX.W+ 8C /r 	MOV r/m64, Sreg	V	V	Move zero extended 16-bit segment register to r/m64.
8E /r 	MOV Sreg, r/m16	V	V	Move r/m16 to segment register.
REX.W+ 8E /r 	MOV Sreg, r/m64	V	V	Move lower 16 bits of r/m64 to segment register.
A0 	MOV AL, moffs8	V	V	Move byte at (seg:offset) to AL.
REX.W+ A0 	MOV AL, moffs8, pw	V	NE	Move byte at (offset) to AL.
A1 	MOV AX, moffs16	V	V	Move word at (seg:offset) to AX.
A1 	MOV EAX, moffs32	V	V	Move doubleword at (seg:offset) to EAX.
REX.W+ A1 	MOV RAX, moffs64	V	NE	Move quadword at (offset) to RAX.
A2 	MOV moffs8, AL 	V	V	Move AL to (seg:offset).
REX.W+ A2 	MOV moffs8, AL, pw 	V	NE	Move AL to (offset).
A3 	MOV moffs16, AX 	V	V	Move AX to (seg:offset).
A3 	MOV moffs32, EAX 	V	V	Move EAX to (seg:offset).
REX.W+ A3 	MOV moffs64, RAX 	V	NE	Move RAX to (offset).
B0 +rb 	MOV r8, imm8 	V	V	Move imm8 to r8.
REX+ B0 +rb	MOV r8, imm8 	V	NE	Move imm8 to r8.
B8 +rw 	MOV r16, imm16 	V	V	Move imm16 to r16.
B8 +rd 	MOV r32, imm32 	V	V	Move imm32 to r32.
REX.W+ B8 +rd 	MOV r64, imm64 	V	NE	Move imm64 to r64.
C6 /0 	MOV r/m8, imm8 	V	V	Move imm8 to r/m8.
REX+ C6 /0 	MOV r/m8, imm8 	V	NE	Move imm8 to r/m8.
C7 /0 	MOV r/m16, imm16 	V	V	Move imm16 to r/m16.
C7 /0 	MOV r/m32, imm32 	V	V	Move imm32 to r/m32.
REX.W+ C7 /0 	MOV r/m64, imm32 	V	NE	Move imm32 sign extended to 64-bits to r/m64.
				
0F 20 /r 	MOV r32, CR0-CR7	NE	V	Move control register to r32.
0F 20 /r	MOV r64, CR0-CR7	V	NE	Move extended control register to r64.
REX.R+ 0F 20 /0	MOV r64, CR8	V	NE	Move extended CR8 to r64.1
0F 22 /r	MOV CR0-CR7, r32	NE	V	Move r32 to control register.
0F 22 /r	MOV CR0-CR7, r64	V	NE	Move r64 to extended control register.
REX.R+ 0F 22 /0	MOV CR8, r64	V	NE	Move r64 to extended CR8.1
				
0F 21 /r 	MOV r32, DR0-DR7	NE	V	Move debug register to r32.
0F 21 /r	MOV r64, DR0-DR7	V	NE	Move extended debug register to r64.
0F 23 /r	MOV DR0-DR7, r32	NE	V	Move r32 to debug register.
0F 23 /r	MOV DR0-DR7, r64	V	NE	Move r64 to extended debug register.
				
66 0F 28 /r 	MOVAPD xmm1, xmm2/m128	V	V	Move packed double-precision floating-point values from xmm2/m128 to xmm1.
66 0F 29 /r	MOVAPD xmm2/m128, xmm1	V	V	Move packed double-precision floating-point values from xmm1 to xmm2/m128.
VEX.128.66.0F.WIG 28 /r	VMOVAPD xmm1, xmm2/m128	V	V	Move aligned packed double-precision floating-point values from xmm2/mem to xmm1.
VEX.128.66.0F.WIG 29 /r	VMOVAPD xmm2/m128, xmm1	V	V	Move aligned packed double-precision floating-point values from xmm1 to xmm2/mem.
VEX.256.66.0F.WIG 28 /r	VMOVAPD ymm1, ymm2/m256	V	V	Move aligned packed double-precision floating-point values from ymm2/mem to ymm1.
VEX.256.66.0F.WIG 29 /r	VMOVAPD ymm2/m256, ymm1	V	V	Move aligned packed double-precision floating-point values from ymm1 to ymm2/mem.
				
0F 28 /r 	MOVAPS xmm1, xmm2/m128	V	V	Move packed single-precision floating-point values from xmm2/m128 to xmm1.
0F 29 /r	MOVAPS xmm2/m128, xmm1	V	V	Move packed single-precision floating-point values from xmm1 to xmm2/m128.
VEX.128.0F.WIG 28 /r	VMOVAPS xmm1, xmm2/m128	V	V	Move aligned packed single-precision floating-point values from xmm2/mem to xmm1.
VEX.128.0F.WIG 29 /r	VMOVAPS xmm2/m128, xmm1	V	V	Move aligned packed single-precision floating-point values from xmm1 to xmm2/mem.
VEX.256.0F.WIG 28 /r	VMOVAPS ymm1, ymm2/m256	V	V	Move aligned packed single-precision floating-point values from ymm2/mem to ymm1.
VEX.256.0F.WIG 29 /r	VMOVAPS ymm2/m256, ymm1	V	V	Move aligned packed single-precision floating-point values from ymm1 to ymm2/mem.
				
0F 38 F0 /r 	MOVBE r16, m16 	V	V	Reverse byte order in m16 and move to r16
0F 38 F0 /r 	MOVBE r32, m32 	V	V	Reverse byte order in m32 and move to r32
REX.W+ 0F 38 F0 /r 	MOVBE r64, m64 	V	NE	Reverse byte order in m64 and move to r64.
0F 38 F1 /r 	MOVBE m16, r16 	V	V	Reverse byte order in r16 and move to m16
0F 38 F1 /r 	MOVBE m32, r32 	V	V	Reverse byte order in r32 and move to m32
REX.W+ 0F 38 F1 /r 	MOVBE m64, r64 	V	NE	Reverse byte order in r64 and move to m64.
				
0F 6E /r 	MOVD mm, r/m32	V	V	Move doubleword from r/m32 to mm.
REX.W+ 0F 6E /r	MOVQ mm, r/m64	V	NE	Move quadword from r/m64 to mm.
0F 7E /r	MOVD r/m32, mm	V	V	Move doubleword from mm to r/m32.
REX.W+ 0F 7E /r	MOVQ r/m64, mm	V	NE	Move quadword from mm to r/m64.
VEX.128.66.0F.W0 6E /r	VMOVD xmm1, r32/m32	V	V	Move doubleword from r/m32 to xmm1.
VEX.128.66.0F.W1 6E /r	VMOVQ xmm1, r64/m64	V	NE	Move quadword from r/m64 to xmm1.
66 0F 6E /r	MOVD xmm, r/m32	V	V	Move doubleword from r/m32 to xmm.
66 REX.W+ 0F 6E /r	MOVQ xmm, r/m64	V	NE	Move quadword from r/m64 to xmm.
66 0F 7E /r	MOVD r/m32, xmm	V	V	Move doubleword from xmm register to r/m32.
66 REX.W+ 0F 7E /r	MOVQ r/m64, xmm	V	NE	Move quadword from xmm register to r/m64.
VEX.128.66.0F.W0 7E /r	VMOVD r32/m32, xmm1	V	V	Move doubleword from xmm1 register to r/m32.
VEX.128.66.0F.W1 7E /r	VMOVQ r64/m64, xmm1	V	NE	Move quadword from xmm1 register to r/m64.
				
F2 0F 12 /r 	MOVDDUP xmm1, xmm2/m64	V	V	Move one double-precision floating-point value from the lower 64-bit operand in xmm2/m64 to xmm1 and duplicate.
VEX.128.F2.0F.WIG 12 /r	VMOVDDUP xmm1, xmm2/m64	V	V	Move double-precision floating-point values from xmm2/mem and duplicate into xmm1.
VEX.256.F2.0F.WIG 12 /r	VMOVDDUP ymm1, ymm2/m256	V	V	Move even index double-precision floating-point values from ymm2/mem and duplicate each element into ymm1.
				
66 0F 6F /r 	MOVDQA xmm1, xmm2/m128	V	V	Move aligned double quadword from xmm2/m128 to xmm1.
66 0F 7F /r	MOVDQA xmm2/m128, xmm1	V	V	Move aligned double quadword from xmm1 to xmm2/m128.
VEX.128.66.0F.WIG 6F /r	VMOVDQA xmm1, xmm2/m128	V	V	Move aligned packed integer values from xmm2/mem to xmm1.
VEX.128.66.0F.WIG 7F /r	VMOVDQA xmm2/m128, xmm1	V	V	Move aligned packed integer values from xmm1 to xmm2/mem.
VEX.256.66.0F.WIG 6F /r	VMOVDQA ymm1, ymm2/m256	V	V	Move aligned packed integer values from ymm2/mem to ymm1.
VEX.256.66.0F.WIG 7F /r	VMOVDQA ymm2/m256, ymm1	V	V	Move aligned packed integer values from ymm1 to ymm2/mem.
				
F3 0F 6F /r 	MOVDQU xmm1, xmm2/m128	V	V	Move unaligned double quadword from xmm2/m128 to xmm1.
F3 0F 7F /r	MOVDQU xmm2/m128, xmm1	V	V	Move unaligned double quadword from xmm1 to xmm2/m128.
VEX.128.F3.0F.WIG 6F /r	VMOVDQU xmm1, xmm2/m128	V	V	Move unaligned packed integer values from xmm2/mem to xmm1.
VEX.128.F3.0F.WIG 7F /r	VMOVDQU xmm2/m128, xmm1	V	V	Move unaligned packed integer values from xmm1 to xmm2/mem.
VEX.256.F3.0F.WIG 6F /r	VMOVDQU ymm1, ymm2/m256	V	V	Move unaligned packed integer values from ymm2/mem to ymm1.
VEX.256.F3.0F.WIG 7F /r	VMOVDQU ymm2/m256, ymm1	V	V	Move unaligned packed integer values from ymm1 to ymm2/mem.
				
F2 0F D6 	MOVDQ2Q mm, xmm 	V	V	Move low quadword from xmm to mmx register.
				
0F 12 /r 	MOVHLPS xmm1, xmm2	V	V	Move two packed single-precision floating-point values from high quadword of xmm2 to low quadword of xmm1.
VEX.NDS.128.0F.WIG 12 /r	VMOVHLPS xmm1, xmm2, xmm3	V	V	Merge two packed single-precision floating-point values from high quadword of xmm3 and low quadword of xmm2.
				
66 0F 16 /r 	MOVHPD xmm, m64	V	V	Move double-precision floating-point value from m64 to high quadword of xmm.
66 0F 17 /r	MOVHPD m64, xmm	V	V	Move double-precision floating-point value from high quadword of xmm to m64.
VEX.NDS.128.66.0F.WIG 16 /r	VMOVHPD xmm2, xmm1, m64	V	V	Merge double-precision floating-point value from m64 and the low quadword of xmm1.
VEX128.66.0F.WIG 17 /r	VMOVHPD m64, xmm1	V	V	Move double-precision floating-point values from high quadword of xmm1 to m64.
				
0F 16 /r 	MOVHPS xmm, m64	V	V	Move two packed single-precision floating-point values from m64 to high quadword of xmm.
0F 17 /r	MOVHPS m64, xmm	V	V	Move two packed single-precision floating-point values from high quadword of xmm to m64.
VEX.NDS.128.0F.WIG 16 /r	VMOVHPS xmm2, xmm1, m64	V	V	Merge two packed single-precision floating-point values from m64 and the low quadword of xmm1.
VEX.128.0F.WIG 17 /r	VMOVHPS m64, xmm1	V	V	Move two packed single-precision floating-point values from high quadword of xmm1to m64.
				
0F 16 /r 	MOVLHPS xmm1, xmm2	V	V	Move two packed single-precision floating-point values from low quadword of xmm2 to high quadword of xmm1.
VEX.NDS.128.0F.WIG 16 /r	VMOVLHPS xmm1, xmm2, xmm3	V	V	Merge two packed single-precision floating-point values from low quadword of xmm3 and low quadword of xmm2.
				
66 0F 12 /r 	MOVLPD xmm, m64	V	V	Move double-precision floating-point value from m64 to low quadword of xmm register.
66 0F 13 /r	MOVLPD m64, xmm	V	V	Move double-precision floating-point nvalue from low quadword of xmm register to m64.
VEX.NDS.128.66.0F.WIG 12 /r	VMOVLPD xmm2, xmm1, m64	V	V	Merge double-precision floating-point value from m64 and the high quadword of xmm1.
VEX.128.66.0F.WIG 13 /r	VMOVLPD m64, xmm1	V	V	Move double-precision floating-point values from low quadword of xmm1 to m64.
				
0F 12 /r 	MOVLPS xmm, m64	V	V	Move two packed single-precision floating-point values from m64 to low quadword of xmm.
0F 13 /r	MOVLPS m64, xmm	V	V	Move two packed single-precision floating-point values from low quadword of xmm to m64.
VEX.NDS.128.0F.WIG 12 /r	VMOVLPS xmm2, xmm1, m64	V	V	Merge two packed single-precision floating-point values from m64 and the high quadword of xmm1.
VEX.128.0F.WIG 13 /r	VMOVLPS m64, xmm1	V	V	Move two packed single-precision floating-point values from low quadword of xmm1 to m64.
				
66 0F 50 /r 	MOVMSKPD reg, xmm	V	V	Extract 2-bit sign mask from xmm and store in reg. The upper bits of r32 or r64 are filled with zeros.
VEX.128.66.0F.WIG 50 /r	VMOVMSKPD reg, xmm2	V	V	Extract 2-bit sign mask from xmm2 and store in reg. The upper bits of r32 or r64 are zeroed.
VEX.256.66.0F.WIG 50 /r	VMOVMSKPD reg, ymm2	V	V	Extract 4-bit sign mask from ymm2 and store in reg. The upper bits of r32 or r64 are zeroed.
				
0F 50 /r 	MOVMSKPS reg, xmm	V	V	Extract 4-bit sign mask from xmm and store in reg. The upper bits of r32 or r64 are filled with zeros.
VEX.128.0F.WIG 50 /r	VMOVMSKPS reg, xmm2	V	V	Extract 4-bit sign mask from xmm2 and store in reg. The upper bits of r32 or r64 are zeroed.
VEX.256.0F.WIG 50 /r	VMOVMSKPS reg, ymm2	V	V	Extract 8-bit sign mask from ymm2 and store in reg. The upper bits of r32 or r64 are zeroed.
				
66 0F 38 2A /r 	MOVNTDQA xmm1, m128	V	V	Move double quadword from m128 to xmm using non-temporal hint if WC memory type.
VEX.128.66.0F38.WIG 2A /r	VMOVNTDQA xmm1, m128	V	V	Move double quadword from m128 to xmm using non-temporal hint if WC memory type.
				
66 0F E7 /r 	MOVNTDQ m128, xmm	V	V	Move double quadword from xmm to m128 using non-temporal hint.
VEX.128.66.0F.WIG E7 /r	VMOVNTDQ m128, xmm1	V	V	Move packed integer values in xmm1 to m128 using non-temporal hint.
VEX.256.66.0F.WIG E7 /r	MOVNTDQ m256, ymm1	V	V	Move packed integer values in ymm1 to m256 using non-temporal hint.
				
0F C3 /r 	MOVNTI m32, r32 	V	V	Move doubleword from r32 to m32 using non-temporal hint.
REX.W+ 0F C3 /r 	MOVNTI m64, r64 	V	NE	Move quadword from r64 to m64 using non-temporal hint.
				
66 0F 2B /r 	MOVNTPD m128, xmm	V	V	Move packed double-precision floating-point values from xmm to m128 using non-temporal hint.
VEX.128.66.0F.WIG 2B /r	VMOVNTPD m128, xmm1	V	V	Move packed double-precision values in xmm1 to m128 using non-temporal hint.
VEX.256.66.0F.WIG 2B /r	VMOVNTPD m256, ymm1	V	V	Move packed double-precision values in ymm1 to m256 using non-temporal hint.
				
0F 2B /r 	MOVNTPS m128, xmm	V	V	Move packed single-precision floating-point values from xmm to m128 using non-temporal hint.
VEX.128.0F.WIG 2B /r	VMOVNTPS m128, xmm1	V	V	Move packed single-precision values xmm1 to mem using non-temporal hint.
VEX.256.0F.WIG 2B /r	VMOVNTPS m256, ymm1	V	V	Move packed single-precision values ymm1 to mem using non-temporal hint.
				
0F E7 /r 	MOVNTQ m64, mm 	V	V	Move quadword from mm to m64 using non-temporal hint.
				
0F 6F /r 	MOVQ mm, mm/m64	V	V	Move quadword from mm/m64 to mm.
0F 7F /r	MOVQ mm/m64, mm	V	V	Move quadword from mm to mm/m64.
F3 0F 7E	MOVQ xmm1, xmm2/m64	V	V	Move quadword from xmm2/mem64 to xmm1.
VEX.128.F3.0F.WIG 7E /r	VMOVQ xmm1, xmm2	V	V	Move quadword from xmm2 to xmm1.
VEX.128.F3.0F.WIG 7E /r	VMOVQ xmm1, m64	V	V	Load quadword from m64 to xmm1.
66 0F D6	MOVQ xmm2/m64, xmm1	V	V	Move quadword from xmm1 to xmm2/mem64.
VEX.128.66.0F.WIG D6 /r	VMOVQ xmm1/m64, xmm2	V	V	Move quadword from xmm2 register to xmm1/m64.
				
F3 0F D6 	MOVQ2DQ xmm, mm 	V	V	Move quadword from mmx to low quadword of xmm.
				
A4 	MOVS m8, m8 	V	V	For legacy mode, Move byte from address DS:(E)SI to ES:(E)DI. For 64-bit mode move byte from address (R|E)SI to (R|E)DI.
A5 	MOVS m16, m16 	V	V	For legacy mode, move word from address DS:(E)SI to ES:(E)DI. For 64-bit mode move word at address (R|E)SI to (R|E)DI.
A5 	MOVS m32, m32 	V	V	For legacy mode, move dword from address DS:(E)SI to ES:(E)DI. For 64-bit mode move dword from address (R|E)SI to (R|E)DI.
REX.W+ A5 	MOVS m64, m64 	V	NE	Move qword from address (R|E)SI to (R|E)DI.
A4 	MOVSB 	V	V	For legacy mode, Move byte from address DS:(E)SI to ES:(E)DI. For 64-bit mode move byte from address (R|E)SI to (R|E)DI.
PREF.66+ A5 	MOVSW 	V	V	For legacy mode, move word from address DS:(E)SI to ES:(E)DI. For 64-bit mode move word at address (R|E)SI to (R|E)DI.
A5 	MOVSD 	V	V	For legacy mode, move dword from address DS:(E)SI to ES:(E)DI. For 64-bit mode move dword from address (R|E)SI to (R|E)DI.
REX.W+ A5 	MOVSQ 	V	NE	Move qword from address (R|E)SI to (R|E)DI.
				
F2 0F 10 /r 	MOVSD xmm1, xmm2/m64	V	V	Move scalar double-precision floating-point value from xmm2/m64 to xmm1 register.
VEX.NDS.LIG.F2.0F.WIG 10 /r	VMOVSD xmm1, xmm2, xmm3	V	V	Merge scalar double-precision floating-point value from xmm2 and xmm3 to xmm1 register.
VEX.LIG.F2.0F.WIG 10 /r	VMOVSD xmm1, m64	V	V	Load scalar double-precision floating-point value from m64 to xmm1 register.
F2 0F 11 /r	MOVSD xmm2/m64, xmm1	V	V	Move scalar double-precision floating-point value from xmm1 register to xmm2/m64.
VEX.NDS.LIG.F2.0F.WIG 11 /r	VMOVSD xmm1, xmm2, xmm3	V	V	Merge scalar double-precision floating-point value from xmm2 and xmm3 registers to xmm1.
VEX.LIG.F2.0F.WIG 11 /r	VMOVSD m64, xmm1	V	V	Move scalar double-precision floating-point value from xmm1 register to m64.
				
F3 0F 16 /r 	MOVSHDUP xmm1, xmm2/m128	V	V	Move two single-precision floating-point values from the higher 32-bit operand of each qword in xmm2/m128 to xmm1 and duplicate each 32-bit operand to the lower 32-bits of each qword.
VEX.128.F3.0F.WIG 16 /r	VMOVSHDUP xmm1, xmm2/m128	V	V	Move odd index single-precision floating-point values from xmm2/mem and duplicate each element into xmm1.
VEX.256.F3.0F.WIG 16 /r	VMOVSHDUP ymm1, ymm2/m256	V	V	Move odd index single-precision floating-point values from ymm2/mem and duplicate each element into ymm1.
				
F3 0F 12 /r 	MOVSLDUP xmm1, xmm2/m128	V	V	Move two single-precision floating-point values from the lower 32-bit operand of each qword in xmm2/m128 to xmm1 and duplicate each 32-bit operand to the higher 32-bits of each qword.
VEX.128.F3.0F.WIG 12 /r	VMOVSLDUP xmm1, xmm2/m128	V	V	Move even index single-precision floating-point values from xmm2/mem and duplicate each element into xmm1.
VEX.256.F3.0F.WIG 12 /r	VMOVSLDUP ymm1, ymm2/m256	V	V	Move even index single-precision floating-point values from ymm2/mem and duplicate each element into ymm1.
				
F3 0F 10 /r 	MOVSS xmm1, xmm2/m32	V	V	Move scalar single-precision floating-point value from xmm2/m32 to xmm1 register.
VEX.NDS.LIG.F3.0F.WIG 10 /r	VMOVSS xmm1, xmm2, xmm3	V	V	Merge scalar single-precision floating-point value from xmm2 and xmm3 to xmm1 register.
VEX.LIG.F3.0F.WIG 10 /r	VMOVSS xmm1, m32	V	V	Load scalar single-precision floating-point value from m32 to xmm1 register.
F3 0F 11 /r	MOVSS xmm2/m32, xmm	V	V	Move scalar single-precision floating-point value from xmm1 register to xmm2/m32.
VEX.NDS.LIG.F3.0F.WIG 11 /r	VMOVSS xmm1, xmm2, xmm3	V	V	Move scalar single-precision floating-point value from xmm2 and xmm3 to xmm1 register.
VEX.LIG.F3.0F.WIG 11 /r	VMOVSS m32, xmm1	V	V	Move scalar single-precision floating-point value from xmm1 register to m32.
				
0F BE /r 	MOVSX r16, r/m8 	V	V	Move byte to word with sign-extension.
0F BE /r 	MOVSX r32, r/m8 	V	V	Move byte to doubleword with sign-extension.
REX+ 0F BE /r 	MOVSX r64, r/m8	V	NE	Move byte to quadword with sign-extension.
0F BF /r 	MOVSX r32, r/m16 	V	V	Move word to doubleword, with sign-extension.
REX.W+ 0F BF /r 	MOVSX r64, r/m16 	V	NE	Move word to quadword with sign-extension.
REX.W+ 63 /r 	MOVSXD r64, r/m32 	V	NE	Move doubleword to quadword with sign-extension.
				
66 0F 10 /r 	MOVUPD xmm1, xmm2/m128	V	V	Move packed double-precision floating-point values from xmm2/m128 to xmm1.
